projectID	Simulation ID	Treatment ID	Soil ID	Weather station ID	weather_file	Leaf area index	Plant available water content	Irrigation amount	Surface organic residue, dry mass	Total above ground dry mass	Mulch thickness 
text	text	text	text	text	text	m²/m²	-	mm	kg[C]/ha	kg[DM]/ha	mm
ProjectID	SM	TREAT_ID	SOIL_ID	WST_ID	WST_DATASET	LAID	AWC	IRVAL	LC0D	CWAD	MLTHK
DEMUL0AW0.75	SILO_DEMU_L0AW0.75	L0AW0.75	SILO	DEMU	DEMUL0AW0.75	0	0.75	0	0	0	0
DEMUL0AW0.75	SALO_DEMU_L0AW0.75	L0AW0.75	SALO	DEMU	DEMUL0AW0.75	0	0.75	0	0	0	0
DEMUL0AW0.75	SAND_DEMU_L0AW0.75	L0AW0.75	SAND	DEMU	DEMUL0AW0.75	0	0.75	0	0	0	0
COCAL0AW0.75	SICL_COCA_L0AW0.75	L0AW0.75	SICL	COCA	COCAL0AW0.75	0	0.75	0	0	0	0
COCAL0AW0.75	SILO_COCA_L0AW0.75	L0AW0.75	SILO	COCA	COCAL0AW0.75	0	0.75	0	0	0	0
COCAL0AW0.75	SALO_COCA_L0AW0.75	L0AW0.75	SALO	COCA	COCAL0AW0.75	0	0.75	0	0	0	0
COCAL0AW0.75	SAND_COCA_L0AW0.75	L0AW0.75	SAND	COCA	COCAL0AW0.75	0	0.75	0	0	0	0
FRLUL0AW0.75	SICL_FRLU_L0AW0.75	L0AW0.75	SICL	FRLU	FRLUL0AW0.75	0	0.75	0	0	0	0
FRLUL0AW0.75	SILO_FRLU_L0AW0.75	L0AW0.75	SILO	FRLU	FRLUL0AW0.75	0	0.75	0	0	0	0
FRLUL0AW0.75	SALO_FRLU_L0AW0.75	L0AW0.75	SALO	FRLU	FRLUL0AW0.75	0	0.75	0	0	0	0
FRLUL0AW0.75	SAND_FRLU_L0AW0.75	L0AW0.75	SAND	FRLU	FRLUL0AW0.75	0	0.75	0	0	0	0
USMAL0AW0.75	SICL_USMA_L0AW0.75	L0AW0.75	SICL	USMA	USMAL0AW0.75	0	0.75	0	0	0	0
USMAL0AW0.75	SILO_USMA_L0AW0.75	L0AW0.75	SILO	USMA	USMAL0AW0.75	0	0.75	0	0	0	0
USMAL0AW0.75	SALO_USMA_L0AW0.75	L0AW0.75	SALO	USMA	USMAL0AW0.75	0	0.75	0	0	0	0
USMAL0AW0.75	SAND_USMA_L0AW0.75	L0AW0.75	SAND	USMA	USMAL0AW0.75	0	0.75	0	0	0	0
